12 22308 124 Avenue,"$710,000","$3,497",$481,2,2,townhouse,,freehold strata,rancher/bungalow,"forced air,natural gas,other","drapes/window coverings, garage door opener, hot water dispenser, security system, smoke alarm, windows - thermo","air conditioning, central air conditioning, recreation nearby, shopping nearby","disposal - waste, in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",west central maple ridge,56 days,756,r2754957,rebgv,,,built in 1989 (34 yrs old),,0
219 12248 224 Street,"$525,000","$2,161",$306,2,2,apt/condo,,freehold strata,"inside unit,upper unit","baseboard,electric",elevator,"bike room, golf course nearby, recreation nearby, shopping nearby","in suite laundry, washer/dryer/fridge/stove/dishwasher",west central maple ridge,2 days,41,r2769381,rebgv,,,built in 2008 (15 yrs old),,0
7 11851 232 Street,"$849,900","$3,800",$294,4,3,townhouse,,freehold strata,3 storey,"forced air,natural gas",garage door opener,shopping nearby,"microwave, washer/dryer/fridge/stove/dishwasher",east central maple ridge,264 days,4250,r2713317,rebgv,,,built in 2023 (0 yrs old),,1
15 23710 133 Avenue,"$888,800",$0,$385,3,2,townhouse,,freehold strata,3 storey,"baseboard,electric,natural gas","garage door opener, security system, smoke alarm, vacuum - built in","recreation nearby, shopping nearby","in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",silver valley,56 days,640,r2754822,rebgv,,,built in 2023 (0 yrs old),,1
13537 230a Street,"$1,499,000","$6,578",,3,2,house,,freehold nonstrata,2 storey w/bsmt.,"forced air,natural gas",,"air conditioning, recreation nearby, shopping nearby","in suite laundry, washer/dryer/fridge/stove/dishwasher",silver valley,2 days,91,r2769353,rebgv,43.94 feet,43 ft x 98 ft (4327 ft²),built in 2014 (9 yrs old),98.15,1
22670 Brown Avenue,"$1,880,000","$4,572",,3,1,house,,freehold nonstrata,1 storey,"baseboard,electric","drapes/window coverings, garden","recreation nearby, shopping nearby","in suite laundry, washer/dryer/fridge/stove/dishwasher",east central maple ridge,313 days,193,r2698859,rebgv,60.00 feet,60 ft x 135 ft (8158 ft²),built in 1973 (50 yrs old),135.97,1
8 23710 133 Avenue,"$828,800",,"$385
monthly",3,3,townhouse,,strata,,baseboard heaters,,,,silver valley,56 days,758,r2754750,canadian real estate association,,,built in 2023 (0 yrs old),,
11851 Hawthorne Street,"$999,999","$4,915",,5,2,house,,freehold nonstrata,1 storey,,,,,cottonwood,2 days,147,r2769274,rebgv,70.00 feet,70 ft x 110 ft (7700 ft²),built in 1962 (61 yrs old),110,1
203 22575 Brown Avenue,"$699,800",$0,$338,2,2,apt/condo,,freehold strata,corner unit,"baseboard,electric","elevator, garden",wheelchair access,"in suite laundry, washer/dryer/fridge/stove/dishwasher",east central maple ridge,364 days,924,r2679689,rebgv,,,built in 2024 (-1 yrs old),,0
12042 Fletcher Street,"$1,560,000","$4,807",,2,1,house,,freehold nonstrata,rancher/bungalow w/loft,,,,,east central maple ridge,57 days,431,r2754594,rebgv,55.00 feet,55 ft x 134 ft (7370 ft²),built in 1954 (69 yrs old),134,0
32 11720 Cottonwood Drive,"$979,000","$3,505",$450,3,3,townhouse,,freehold strata,"3 storey,end unit","forced air,natural gas",,"air conditioning, central air conditioning, recreation nearby, shopping nearby",in suite laundry,cottonwood,2 days,36,r2769199,rebgv,,,built in 2007 (16 yrs old),,1
44 22412 124 Avenue,"$644,900","$3,528",$315,3,1,townhouse,,freehold strata,3 storey,electric,,"recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,east central maple ridge,1 day,,r2769793,rebgv,,,built in 1988 (35 yrs old),,1
11840 284 Street,"$899,000","$4,185",,3,2,house,,freehold nonstrata,2 storey w/bsmt.,,,,,whonnock,63 days,1541,r2753423,rebgv,109.25 feet,109 ft x 128 ft (1.02 acres),,128.5,1
26 22488 116 Avenue,"$787,800","$3,970",$321,2,2,townhouse,,freehold strata,"1 storey,upper unit","hot water,radiant",cul-de-sac,shopping nearby,"in suite laundry, washer/dryer/fridge/stove/dishwasher",east central maple ridge,2 days,52,r2769151,rebgv,,,built in 1991 (32 yrs old),,0
203 20556 113 Avenue,"$399,900","$2,554",$280,1,1,apt/condo,,freehold strata,1 storey,electric,elevator,"golf course nearby, marina nearby, recreation nearby, shopping nearby, storage, wheelchair access","in suite laundry, washer/dryer/fridge/stove/dishwasher",southwest maple ridge,1 day,,r2769708,rebgv,,,built in 1994 (29 yrs old),,0
14276 Silver Valley Road,"$3,499,000","$4,546",,3,2,house,,freehold nonstrata,"1 storey,rancher/bungalow",,,,,silver valley,65 days,257,r2752988,rebgv,133.59 feet,2.22 acres,built in 1948 (75 yrs old),,0
22596 123rd Avenue,"$949,900","$3,831",,3,1,house,,freehold nonstrata,rancher/bungalow,"forced air,natural gas","drapes/window coverings, fireplace insert, garage door opener, storage shed, windows - thermo",shopping nearby,washer/dryer/fridge/stove/dishwasher,east central maple ridge,2 days,59,r2768375,rebgv,72.00 feet,72 ft x 92 ft (6624 ft²),built in 1967 (56 yrs old),92,0
101 12040 Plaza Street,"$699,000",$0,$0,3,2,townhouse,,freehold strata,"3 storey,end unit",heat pump,"elevator, garden, smoke alarm, sprinkler - fire","air conditioning, central air conditioning, recreation nearby, shopping nearby, storage","in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",west central maple ridge,1 day,,r2769738,rebgv,,,built in 2023 (0 yrs old),,1
11098 Princess Street,"$889,000","$4,563",,2,1,house,,freehold nonstrata,rancher/bungalow,electric,,"golf course nearby, recreation nearby, shopping nearby, workshop detached",,southwest maple ridge,65 days,675,r2752638,rebgv,60.00 feet,60 ft x 120 ft (7200 ft²),built in 1954 (69 yrs old),120,0
