address,price,gross_tax,strata_maintenance_fees,bedrooms,bathrooms,property_type,property_age,title,heating_type,feature,amenities,appliances,community,days_on_rew,property_views,mls®_number,source,frontage,lot_size,year_built,depth,half_bathrooms,lot_width,lot_length,age,bungalow,storey,basement,laneway_house,garage,split_entry
2642 Marble Court,1988800,5072,,5.0,3.0,house,,freehold nonstrata,"forced air,natural gas","cul-de-sac, drapes/window coverings, garage door opener, security system, storage shed, vaulted ceiling","air conditioning, golf course nearby, recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,westwood plateau,9 days,1064.0,r2766637,rebgv,0.00 feet,7961,1993,0,1.0,0,0,30.0,0,2,1,0,1,0
1150 Madore Avenue,1999000,5601,,4.0,2.0,house,,freehold nonstrata,,,"recreation nearby, shopping nearby",,central coquitlam,9 days,241.0,r2766561,rebgv,70.00 feet,8050,1960,115,0.0,70,70,63.0,1,-1,1,0,-1,0
832 Wyvern Avenue,2899000,7582,,6.0,6.0,house,,freehold nonstrata,,,,,coquitlam west,9 days,478.0,r2766412,rebgv,57.00 feet,6036,2021,109,0.0,57,57,2.0,0,2,1,0,-1,0
949 Lillian Street,3288000,8463,,8.0,5.0,house,,freehold nonstrata,,,,,harbour chines,9 days,302.0,r2766411,rebgv,98.00 feet,21728,1948,224,0.0,98,98,75.0,0,2,0,0,-1,0
14 2865 Glen Drive,1088800,3193,$140,2.0,2.0,house,,freehold strata,"forced air,natural gas","drapes/window coverings, garage door opener, storage shed",,"in suite laundry, washer/dryer/fridge/stove/dishwasher",eagle ridge,14 days,1741.0,r2765556,rebgv,0.00 feet,,1987,,0.0,,,36.0,1,-1,0,0,1,0
1388 Madore Avenue,2798000,3659,,6.0,5.0,house,,freehold nonstrata,"electric,forced air",,shopping nearby,in suite laundry,central coquitlam,14 days,292.0,r2765298,rebgv,39.00 feet,10452,2023,268.00,1.0,39,39,0.0,0,2,1,0,-1,0
1403 Pipeline Place,2688000,0,,7.0,6.0,house,,freehold nonstrata,"heat recovery ventilator, hot water,radiant","drapes/window coverings, garage door opener, heat recovery ventilator, security system","air conditioning, central air conditioning","in suite laundry, washer/dryer/fridge/stove/dishwasher",hockaday,30 days,1174.0,r2761281,rebgv,0.00 feet,5976,2023,0,1.0,0,0,0.0,0,3,0,0,1,0
709 Quadling Avenue,3135000,0,,4.0,2.0,house,,freehold nonstrata,"forced air,natural gas",,,washer/dryer/fridge/stove/dishwasher,coquitlam west,21 days,66.0,r2763554,rebgv,63.28 feet,8946,1955,141.86,0.0,63,63,68.0,0,1,0,0,-1,0
705 Quadling Avenue,4000000,9024,,2.0,2.0,house,,freehold nonstrata,electric,,,washer/dryer/fridge/stove/dishwasher,coquitlam west,22 days,57.0,r2763298,rebgv,74.77 feet,10650,1958,141,0.0,74,74,65.0,0,2,0,0,-1,0
2996 Spuraway Avenue,1599000,4676,,3.0,1.0,house,,freehold nonstrata,forced air,garden,"hot tub, storage",washer/dryer/fridge/stove/dishwasher,ranch park,22 days,3167.0,r2764378,rebgv,80.00 feet,,1956,,2.0,,,67.0,1,-1,0,0,0,0
711 Quadling Avenue,3000000,6106,,3.0,1.0,house,,freehold nonstrata,forced air,,,washer/dryer/fridge/stove/dishwasher,coquitlam west,23 days,42.0,r2763363,rebgv,63.00 feet,8946,,141,0.0,63,63,,0,1,0,0,-1,0
715 Quadling Avenue,3000000,6106,,3.0,1.0,house,,freehold nonstrata,other,,,washer/dryer/fridge/stove/dishwasher,coquitlam west,23 days,47.0,r2763313,rebgv,0.00 feet,,,,0.0,,,,0,1,0,0,-1,0
941 Alderson Avenue,1688000,3823,,4.0,2.0,house,,freehold nonstrata,forced air,,air conditioning,washer/dryer/fridge/stove/dishwasher,maillardville,27 days,471.0,r2762175,rebgv,64.00 feet,,1958,,0.0,,,65.0,1,-1,1,0,-1,0
1406 Pipeline Place,2488000,0,,6.0,6.0,house,,freehold nonstrata,"heat recovery ventilator, hot water,radiant","drapes/window coverings, garage door opener, heat recovery ventilator, security system","air conditioning, central air conditioning","in suite laundry, washer/dryer/fridge/stove/dishwasher",westwood plateau,30 days,517.0,r2761363,rebgv,0.00 feet,5341,2023,0,1.0,0,0,0.0,0,3,0,0,1,0
