,Unnamed: 0,address,price,gross_tax,bedrooms,bathrooms,property_type,community,property_views,lot_size,year_built,lot_width,lot_length,age,bungalow,storey,basement,laneway_house,garage,split_entry,latitude,longitude
39,125,1428 Devonshire Crescent,18000000,72769,5,7,house,shaughnessy,,14390.0,2009,102.0,102.0,14,0,2,1,0,1,0,49.2461834,-123.1371873
40,182,5887 Adera Street,10880000,38969,5,7,house,south granville,663.0,9502.0,2017,75.0,75.0,6,0,2,1,0,0,0,49.2327659,-123.1437415
41,190,6823 Marguerite Street,5399000,22483,7,8,house,south granville,1902.0,9498.0,1997,66.0,66.0,26,0,2,1,0,1,0,49.2237764,-123.1455272
42,191,1029 W 57th Avenue,4500000,12036,6,5,house,south granville,529.0,7500.0,1987,60.0,60.0,36,0,2,1,0,0,0,49.219436,-123.1468612
43,192,1188 W 55th Avenue,28880000,113602,8,12,house,south granville,4030.0,,1996,222.0,222.0,27,0,2,1,0,0,0,49.220155,-123.1319939
44,194,1328 W 57th Avenue,6988000,13171,6,8,house,south granville,577.0,11075.0,1989,72.0,72.0,34,0,2,1,0,0,0,49.219436,-123.1468612
45,212,5611 Highbury Street,5688000,22238,5,6,house,southlands,1016.0,7920.0,2020,66.0,66.0,3,0,2,1,0,1,0,49.23550909999999,-123.1887047
46,217,5880 Crown Street,2688000,8743,4,5,house,southlands,2378.0,4538.0,2004,54.0,54.0,19,0,3,0,0,0,0,49.2330367,-123.1934978
47,218,3508 SW Marine Drive,3160000,9924,6,4,house,southlands,3739.0,12255.0,1956,106.0,106.0,67,0,3,0,0,1,0,49.2298917,-123.1824528
48,225,6052 Collingwood Place,4500000,17006,4,3,house,southlands,134.0,11580.0,1955,105.0,105.0,68,0,2,0,0,-1,0,49.2314315,-123.1842235
49,229,3636 SW Marine Drive,2999888,9694,7,7,house,southlands,385.0,,1940,,,83,0,2,1,0,-1,0,49.2306117,-123.1859941
50,233,8328 Tugboat Place,2788800,5902,3,3,house,southlands,1405.0,4804.0,1988,48.0,48.0,35,0,2,0,0,1,0,49.2104979,-123.1531834
51,245,1816 W 62nd Avenue,2799000,9581,4,2,house,southwest marine,568.0,6604.0,1926,50.0,50.0,97,0,1,0,0,-1,0,49.214708,-123.127253
52,247,8089 Laburnum Street,4998000,18510,7,7,house,southwest marine,193.0,10050.0,1992,75.0,75.0,31,0,2,1,0,1,0,,
53,249,1967 W 57th Avenue,4988000,18082,6,4,house,southwest marine,279.0,10710.0,1926,70.0,70.0,97,0,2,1,0,0,0,49.219436,-123.1468612
54,251,2709 W 49th Avenue,8490000,33712,5,8,house,southwest marine,1771.0,22695.0,1996,89.0,89.0,27,0,2,1,0,1,0,,
