2220 Windwood Place,"$2,480,000",,,,,,,,,,,,,,,,,,,,,,
1401 3980 Carrigan Court,"$849,900",,,,,,,,,,,,,,,,,,,,,,
7464 Kilrea Crescent,"$2,499,880",,,,,,,,,,,,,,,,,,,,,,
2001 691 North Road,"$848,000",,,,,,,,,,,,,,,,,,,,,,
2220 Dauphin Place,"$1,999,900","$5,629",,4,2,house,,freehold nonstrata,3 level split,"forced air,natural gas","cul-de-sac, drapes/window coverings, security system","air conditioning, golf course nearby, recreation nearby, shopping nearby","washer/dryer/fridge/stove/dishwasher, wine cooler",parkcrest,5 days,1003,r2767769,rebgv,60.00 feet,60 ft x 123 ft (7372 ft²),built in 1971 (52 yrs old),123,1
204 9127 Capella Drive,"$499,000",,,,,,,,,,,,,,,,,,,,,,
404 9888 University Crescent,"$764,900",,,,,,,,,,,,,,,,,,,,,,
1531 Giles Place,"$1,348,000",,,,,,,,,,,,,,,,,,,,,,
207 9888 Cameron Street,"$699,999","$1,649",$394,2,0,apt/condo,,freehold strata,1 storey,"baseboard,electric","elevator, garage door opener, garden, pantry, smoke alarm, sprinkler - fire","bike room, exercise room, golf course nearby, recreation nearby, shopping nearby, storage","in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",sullivan heights,12 days,514,r2766156,rebgv,,,built in 2009 (14 yrs old),,2
7967 19th Avenue,"$1,888,000",$0,$0,4,3,duplex,,freehold strata,2 storey,"hot water,natural gas,radiant","drapes/window coverings, garage door opener, security system, vacuum - built in, vaulted ceiling, wet bar","air conditioning, shopping nearby","microwave, washer/dryer/fridge/stove/dishwasher, wine cooler",east burnaby,22 days,887,r2762651,rebgv,65.45 feet,65 ft x 155 ft (10166 ft²),built in 2023 (0 yrs old),155.31,1
606 7169 14th Avenue,"$649,800",,,,,,,,,,,,,,,,,,,,,,
425 7058 14th Avenue,"$599,800",,,,,,,,,,,,,,,,,,,,,,
4 7563 Humphries Court,"$699,000","$1,840",$499,3,2,townhouse,,freehold strata,3 storey,"baseboard,electric",garage door opener,"recreation nearby, shopping nearby","in suite laundry, washer/dryer/fridge/stove/dishwasher",edmonds,12 days,2246,r2766074,rebgv,,,built in 1979 (44 yrs old),,0
230 7333 16th Avenue,"$700,000","$1,756",$240,2,2,townhouse,,freehold strata,2 storey,"baseboard,electric",,"bike room, recreation nearby, shopping nearby, storage","in suite laundry, washer/dryer/fridge/stove/dishwasher",edmonds,19 days,1234,r2762693,rebgv,,,built in 2007 (16 yrs old),,0
1606 7303 Noble Lane,"$699,800","$1,704",$1,1,1,apt/condo,,freehold strata,1 storey,"forced air,heat pump",,"air conditioning, recreation nearby","dishwasher, in suite laundry, washer/dryer/fridge/stove/dishwasher",edmonds,20 days,338,r2763574,rebgv,,,built in 2019 (4 yrs old),,0
7535 Burgess Street,"$2,999,999","$7,525",,8,3,house,,freehold nonstrata,3 storey,forced air,smoke alarm,,washer/dryer/fridge/stove/dishwasher,edmonds,28 days,344,r2761569,rebgv,58.80 feet,58 ft x 179 ft (10561 ft²),built in 2019 (4 yrs old),179.6,1
7386 Humphries Avenue,"$2,400,000","$4,665",,3,1,house,,freehold nonstrata,2 storey w/bsmt.,forced air,,"recreation nearby, shopping nearby","in suite laundry, washer/dryer/fridge/stove/dishwasher",edmonds,42 days,845,r2758350,rebgv,66.00 feet,66 ft x 113 ft (7458 ft²),built in 1918 (105 yrs old),113,0
7513 16th Avenue,"$1,799,000","$5,963",,4,3,duplex,,freehold nonstrata,2 storey,"heat recovery ventilator, hot water,radiant","garage door opener, heat recovery ventilator, smoke alarm","air conditioning, central air conditioning","in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",edmonds,72 days,1993,r2750447,rebgv,66.00 feet,66 ft x 113 ft (7458 ft²),built in 2023 (0 yrs old),113,1
7515 16th Avenue,"$1,799,000","$5,963",,4,3,duplex,,freehold nonstrata,2 storey,"heat recovery ventilator, hot water,radiant","garage door opener, heat recovery ventilator, smoke alarm","air conditioning, central air conditioning","in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",edmonds,72 days,1045,r2750450,rebgv,66.00 feet,66 ft x 113 ft (7458 ft²),built in 2023 (0 yrs old),113,1
7423 13 Avenue,"$629,900","$1,765",$400,2,1,townhouse,,freehold strata,2 storey w/bsmt.,forced air,"garage door opener, smoke alarm","golf course nearby, recreation nearby, shopping nearby","in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",edmonds,81 days,2855,r2748557,rebgv,,,built in 1973 (50 yrs old),,1
2 7136 18th Avenue,"$999,900",,,,,,,,,,,,,,,,,,,,,,
7675 Burgess Street,"$2,498,000","$3,757",,5,6,house,,freehold nonstrata,3 storey,"hot water,radiant","drapes/window coverings, garage door opener, security system, vacuum - built in","air conditioning, shopping nearby","microwave, washer/dryer/fridge/stove/dishwasher, wine cooler",edmonds,138 days,1691,r2741101,rebgv,33.00 feet,33 ft x 110 ft (3630 ft²),built in 2023 (0 yrs old),110,2
2507 7303 Noble Lane,"$898,000",,,,,,,,,,,,,,,,,,,,,,
2501 7088 18th Avenue,"$699,000","$1,592",$300,1,1,apt/condo,,freehold strata,"1 storey,upper unit","baseboard,electric","elevator, fireplace insert, garage door opener, garden, smoke alarm, sprinkler - fire","exercise room, hot tub, recreation nearby, sauna, shopping nearby","in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",edmonds,223 days,1414,r2721731,rebgv,,,built in 2007 (16 yrs old),,0
13 7136 18th Avenue,"$698,888",,,,,,,,,,,,,,,,,,,,,,
