2362 Austin Avenue,"$2,698,800","$7,851",,8,8,house,,freehold nonstrata,3 storey w/bsmt,radiant,"drapes/window coverings, fireplace insert, oven - built in, security system, smoke alarm, vacuum - built in, wet bar",air conditioning,"microwave, washer/dryer/fridge/stove/dishwasher",central coquitlam,6 days,357,r2768037,rebgv,0.00 feet,7920 ft²,built in 2021 (2 yrs old),,0
343 17 Fawcett Road,"$678,000","$1,880",$184,1,1,apt/condo,,freehold strata,1 storey,electric,,storage,washer/dryer/fridge/stove/dishwasher,cape horn,6 days,90,r2767753,rebgv,,,built in 1996 (27 yrs old),,0
117 617 Smith Avenue,"$499,000","$1,433",$217,1,1,apt/condo,,freehold strata,1 storey,"baseboard,electric","drapes/window coverings, elevator","recreation nearby, shopping nearby, storage","in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",coquitlam west,7 days,465,r2767900,rebgv,,,built in 2013 (10 yrs old),,0
108 1210 Falcon Drive,"$1,198,000","$2,996",$385,4,3,townhouse,,freehold strata,3 storey,forced air,,"recreation nearby, shopping nearby, storage","in suite laundry, washer/dryer/fridge/stove/dishwasher",upper eagle ridge,5 days,718,r2768245,rebgv,,,built in 1984 (39 yrs old),,1
1105 652 Whiting Way,"$550,000","$1,648",$317,1,1,apt/condo,,freehold strata,inside unit,electric,"drapes/window coverings, elevator, garage door opener, garden","bike room, exercise room, storage","in suite laundry, washer/dryer/fridge/stove/dishwasher",coquitlam west,8 days,258,r2767067,rebgv,,,built in 2020 (3 yrs old),,0
1308 Sherman Street,"$1,575,000","$3,962",,4,3,house,,freehold nonstrata,2 storey,forced air,"drapes/window coverings, storage shed","shopping nearby, storage","microwave, washer/dryer/fridge/stove/dishwasher",canyon springs,16 days,2241,r2765035,rebgv,0.00 feet,0 ft x 0 ft (4036 ft²),built in 1987 (36 yrs old),0,0
108 1210 Falcon Drive,"$1,198,000","$2,996",$385,4,3,townhouse,,freehold strata,3 storey,forced air,,"recreation nearby, shopping nearby, storage","in suite laundry, washer/dryer/fridge/stove/dishwasher",upper eagle ridge,5 days,718,r2768245,rebgv,,,built in 1984 (39 yrs old),,1
808 Macintosh Street,"$2,998,000","$4,129",,7,6,house,,freehold nonstrata,2 storey w/bsmt.,"natural gas,radiant",,air conditioning,washer/dryer/fridge/stove/dishwasher,harbour chines,30 days,1471,r2761016,rebgv,68.00 feet,68 ft x 126 ft (8568 ft²),built in 2024 (-1 yrs old),126,1
304 1103 Howie Avenue,"$515,000","$1,086",$263,1,1,apt/condo,,freehold strata,1 storey,"baseboard,electric","elevator, garage door opener, intercom, smoke alarm","golf course nearby, recreation nearby, shared laundry, shopping nearby","clothes washer/dryer, dishwasher, in suite laundry, refrigerator, stove",central coquitlam,7 days,201,r2767713,rebgv,,,built in 1979 (44 yrs old),,0
470 Riverview Crescent,"$1,888,888","$4,935",,5,2,house,,freehold nonstrata,2 storey w/bsmt.,forced air,,,washer/dryer/fridge/stove/dishwasher,coquitlam east,7 days,577,r2767152,rebgv,57.00 feet,57 ft x 122 ft (6997 ft²),built in 1992 (31 yrs old),122,1
1730 Bowman Avenue,"$3,248,000","$4,851",,7,6,house,,freehold nonstrata,2 storey w/bsmt.,"natural gas,radiant","drapes/window coverings, garage door opener, oven - built in, security system, smoke alarm, vacuum - built in, wet bar","air conditioning, central air conditioning","microwave, washer/dryer/fridge/stove/dishwasher",harbour place,7 days,254,r2767577,rebgv,70.00 feet,8050 ft²,built in 2022 (1 yrs old),,1
232 720 Robinson Street,"$1,299,900",$0,$495,2,3,townhouse,,freehold strata,3 storey,"heat recovery ventilator, baseboard,electric","elevator, garden, heat recovery ventilator, security - roughed in, smoke alarm, sprinkler - fire","bike room, golf course nearby, recreation nearby, shopping nearby, storage","in suite laundry, washer/dryer/fridge/stove/dishwasher",coquitlam west,7 days,275,r2767689,rebgv,,,built in 2025 (-2 yrs old),,1
105 720 Robinson Street,"$789,900",$0,$283,2,2,apt/condo,,freehold strata,1 storey,"heat recovery ventilator, electric","drapes/window coverings, elevator, garden, heat recovery ventilator, security - roughed in, smoke alarm, sprinkler - fire","bike room, golf course nearby, recreation nearby, shopping nearby, storage","in suite laundry, washer/dryer/fridge/stove/dishwasher",coquitlam west,7 days,317,r2767690,rebgv,,,built in 2024 (-1 yrs old),,0
111 720 Robinson Street,"$1,299,900",$0,$466,3,2,townhouse,,freehold strata,3 storey,"heat recovery ventilator, electric","elevator, garden, heat recovery ventilator, security - roughed in, smoke alarm, sprinkler - fire","bike room, golf course nearby, recreation nearby, shopping nearby, storage","in suite laundry, washer/dryer/fridge/stove/dishwasher",coquitlam west,7 days,202,r2767691,rebgv,,,built in 2025 (-2 yrs old),,1
